Circular 	Gene
hsa_circ_0004144	RBM4B
hsa_circ_0022725	ATG2A
hsa_circ_0088372	RC3H2
hsa_circ_0060474	JPH2
hsa_circ_0024403	RNF214
hsa_circ_0011717	C1orf122
hsa_circ_0028951	CAMKK2
hsa_circ_0035305	MAPK6
hsa_circ_0059329	CDC25B
hsa_circ_0052365	TRIM28
hsa_circ_0004554	TRIP12
hsa_circ_0084910	KIAA1429
hsa_circ_0052982	ITSN2
hsa_circ_0025099	VWF
hsa_circ_0090714	HUWE1
hsa_circ_0005433	TCONS_l2_00020705
hsa_circ_0023215	LRP5
hsa_circ_0075591	MUTED-TXNDC5
hsa_circ_0024615	ARHGEF12
hsa_circ_0011235	PUM1
hsa_circ_0092272	None
hsa_circ_0042005	CTC1
hsa_circ_0071715	CLPTM1L
hsa_circ_0059238	VPS16
hsa_circ_0008218	PSEN1
hsa_circ_0007480	ZNF160
hsa_circ_0078873	None
hsa_circ_0077623	CDK19
hsa_circ_0044992	BCAS3
hsa_circ_0030072	KIAA0564
hsa_circ_0076748	MCM3
hsa_circ_0032809	NRXN3
hsa_circ_0044561	COL1A1
hsa_circ_0066219	CCDC66
hsa_circ_0090836	GNL3L
hsa_circ_0086555	KIAA1797
hsa_circ_0024131	DYNC2H1
hsa_circ_0072229	NUP155
hsa_circ_0069206	WDR1
hsa_circ_0063258	EIF3L
hsa_circ_0038937	MVP
hsa_circ_0052127	NLRP12
hsa_circ_0064031	SUMF1
hsa_circ_0071055	ANAPC10
hsa_circ_0028678	CIT
hsa_circ_0025925	IRAK4
hsa_circ_0010820	KDM1A
hsa_circ_0092317	ARVCF
hsa_circ_0039249	ITFG1
hsa_circ_0033583	NUDT14
hsa_circ_0000334	PPP6R3
hsa_circ_0068600	TFRC
hsa_circ_0081583	PLOD3
hsa_circ_0031275	ACIN1
hsa_circ_0018838	AGAP5
hsa_circ_0037750	ROGDI
hsa_circ_0028426	PTPN11
hsa_circ_0054083	HEATR5B
hsa_circ_0001278	STT3B
hsa_circ_0001356	SMC4
hsa_circ_0053960	CRIM1
hsa_circ_0016797	NUP133
hsa_circ_0062522	BCR
hsa_circ_0006985	SMARCC1
hsa_circ_0065560	QARS
hsa_circ_0005710	PIP5K1A
hsa_circ_0007394	APAF1
hsa_circ_0025231	CHD4
hsa_circ_0087006	GNE
hsa_circ_0007879	PLEKHH2
hsa_circ_0089814	None
hsa_circ_0076115	ZNF76
hsa_circ_0036448	IDH3A
hsa_circ_0034327	OTUD7A
hsa_circ_0088011	KIAA0368
hsa_circ_0045572	TMEM104
hsa_circ_0045313	SMURF2
hsa_circ_0031934	TXNDC16
hsa_circ_0043700	ACLY
hsa_circ_0017651	ITIH2
hsa_circ_0087279	TLE4
hsa_circ_0062626	GGT1
hsa_circ_0047238	LAMA3
hsa_circ_0041652	KIF1C
hsa_circ_0055870	NPAS2
hsa_circ_0083702	DOCK5
hsa_circ_0059333	C20orf29
hsa_circ_0085647	NDRG1
hsa_circ_0025489	LRP6
hsa_circ_0065949	RRP9
hsa_circ_0055439	USP39
hsa_circ_0007770	AP1G1
hsa_circ_0072394	C5orf34
hsa_circ_0018047	MPP7
hsa_circ_0086603	TEK
hsa_circ_0043829	ATP6V0A1
hsa_circ_0034682	CHP
hsa_circ_0030418	TBC1D4
hsa_circ_0091687	MTMR1
hsa_circ_0046237	HGS
hsa_circ_0028389	C12orf51
hsa_circ_0041107	TCF25
hsa_circ_0062028	COL6A1
hsa_circ_0027945	GLT8D2
hsa_circ_0020790	TCONS_00063837_H19
hsa_circ_0029662	XPO4
hsa_circ_0011711	CDCA8
hsa_circ_0090794	HUWE1
hsa_circ_0087272	PSAT1
hsa_circ_0075560	RREB1
hsa_circ_0042657	SUPT6H
hsa_circ_0032570	LTBP2
hsa_circ_0074996	NPM1
hsa_circ_0039926	NFATC3
hsa_circ_0025760	TMTC1
hsa_circ_0007640	KDM3B
hsa_circ_0090533	OTUD5
hsa_circ_0037203	NHLRC4
hsa_circ_0035806	HERC1
hsa_circ_0062699	TTC28
hsa_circ_0066547	SHQ1
hsa_circ_0049638	CALR
hsa_circ_0012846	CACHD1
hsa_circ_0065985	ALAS1
hsa_circ_0078369	SCAF8
hsa_circ_0054523	STON1-GTF2A1L
hsa_circ_0037473	PKD1
hsa_circ_0012398	FAF1
hsa_circ_0059220	EBF4
hsa_circ_0046432	FOXK2
hsa_circ_0022444	EEF1G
hsa_circ_0062762	AP1B1
hsa_circ_0003172	CMTM6
hsa_circ_0033856	ADAM6
hsa_circ_0047667	LIPG
hsa_circ_0073899	AFF4
hsa_circ_0020705	RPLP2
hsa_circ_0007327	VPS11
hsa_circ_0033921	None
hsa_circ_0004502	YAF2
hsa_circ_0046709	SMCHD1
hsa_circ_0078628	QKI
hsa_circ_0012548	ZCCHC11
hsa_circ_0035437	POLR2M
hsa_circ_0057745	CFLAR
hsa_circ_0030998	LAMP1
hsa_circ_0064064	ITPR1
hsa_circ_0061562	ITSN1
hsa_circ_0060233	RBL1
hsa_circ_0040696	COTL1
hsa_circ_0027277	DCTN2
hsa_circ_0078776	FAM120B
hsa_circ_0088220	PAPPA
hsa_circ_0059644	PYGB
hsa_circ_0048183	SBNO2
hsa_circ_0001132	PLCB1
hsa_circ_0085225	UBR5
hsa_circ_0001242	RRP7A
hsa_circ_0090759	HUWE1
hsa_circ_0013891	ITGA10
hsa_circ_0020875	NUP98
hsa_circ_0037289	C16orf42
hsa_circ_0003302	TBCEL
hsa_circ_0070066	SEPT11
hsa_circ_0018334	PARG
hsa_circ_0041888	POLR2A
hsa_circ_0063081	MYH9
hsa_circ_0030725	TM9SF2
hsa_circ_0089494	CAMSAP1
hsa_circ_0067902	PHC3
hsa_circ_0059521	ZNF133
hsa_circ_0009831	MTOR
hsa_circ_0072792	MARVELD2
hsa_circ_0090546	GRIPAP1
hsa_circ_0056897	SLC38A11
hsa_circ_0026862	ESYT1
hsa_circ_0018198	CCNY
hsa_circ_0078114	UTRN
hsa_circ_0077957	MAP7
hsa_circ_0074098	CDC25C
hsa_circ_0001323	BBX
hsa_circ_0066440	ADAMTS9
hsa_circ_0059901	EIF2S2
hsa_circ_0078276	MTHFD1L
hsa_circ_0070839	KIAA1109
hsa_circ_0073358	ARRDC3
hsa_circ_0054232	EML4
hsa_circ_0001064	EPB41L5
hsa_circ_0076258	DNAH8
hsa_circ_0077602	MICAL1
hsa_circ_0086733	UBAP2
hsa_circ_0035936	DENND4A
hsa_circ_0064045	ITPR1
hsa_circ_0035194	DTWD1
hsa_circ_0091670	IDS
hsa_circ_0038543	LOC641298
hsa_circ_0089452	COL5A1
hsa_circ_0031591	AKAP6
hsa_circ_0003072	RGPD8
hsa_circ_0079306	CCZ1
hsa_circ_0000749	MYO18A
hsa_circ_0091059	RPS4X
hsa_circ_0056335	ERCC3
hsa_circ_0017287	SMYD3
hsa_circ_0089962	RBBP7
hsa_circ_0013124	ZNF326
hsa_circ_0058020	CPS1
hsa_circ_0040543	CHST6
hsa_circ_0027409	XPOT
hsa_circ_0040738	KIAA0182
hsa_circ_0034218	HERC2
hsa_circ_0027890	UTP20
hsa_circ_0021564	EIF3M
hsa_circ_0058666	NCL
hsa_circ_0073615	MCC
hsa_circ_0043622	KRT14
hsa_circ_0050034	UNC13A
hsa_circ_0049349	CARM1
hsa_circ_0077521	HACE1
hsa_circ_0046325	DUS1L
hsa_circ_0035506	MYO1E
hsa_circ_0022648	STIP1
hsa_circ_0064086	EDEM1
hsa_circ_0031190	CHD8
hsa_circ_0066727	CBLB
hsa_circ_0060761	CSE1L
hsa_circ_0004832	LRRC37BP1
hsa_circ_0048161	HMHA1
hsa_circ_0082893	LRRC61
hsa_circ_0002454	DNAJC6
hsa_circ_0002823	DLC1
hsa_circ_0081461	PILRB
hsa_circ_0062241	HIRA
hsa_circ_0047022	CEP192
hsa_circ_0065450	UQCRC1
hsa_circ_0008909	MGAT2
hsa_circ_0085686	TRAPPC9
hsa_circ_0078766	DLL1
hsa_circ_0042792	SSH2
hsa_circ_0078914	None
hsa_circ_0080357	KCTD7
hsa_circ_0053640	BIRC6
hsa_circ_0004388	GBE1
hsa_circ_0058242	VIL1
hsa_circ_0077878	RPS12
hsa_circ_0033609	MTA1
hsa_circ_0061091	LAMA5
hsa_circ_0028246	ATXN2
hsa_circ_0023051	KDM2A
hsa_circ_0012055	SZT2
hsa_circ_0080611	GTF2I
hsa_circ_0000432	C12orf48
hsa_circ_0081977	DOCK4
hsa_circ_0041891	POLR2A
hsa_circ_0001515	LIX1
hsa_circ_0069027	HGFAC
hsa_circ_0025059	CCND2
hsa_circ_0063448	MKL1
hsa_circ_0061968	C21orf2
hsa_circ_0091902	FLNA
hsa_circ_0048335	AP3D1
hsa_circ_0015585	LAMC1
hsa_circ_0069599	SLC30A9
hsa_circ_0025005	ADIPOR2
hsa_circ_0019859	PDCD11
hsa_circ_0010708	HSPG2
hsa_circ_0082679	HIPK2
hsa_circ_0065066	LARS2
hsa_circ_0055559	TCONS_00002711
hsa_circ_0051603	PRKD2
hsa_circ_0064979	VIPR1
hsa_circ_0015757	CFH
hsa_circ_0090021	MAP3K15
hsa_circ_0026787	SARNP
hsa_circ_0060758	CSE1L
hsa_circ_0004100	ZDHHC8
hsa_circ_0042155	NCOR1
hsa_circ_0025576	PDE3A
hsa_circ_0083034	MLL3
hsa_circ_0064536	RFTN1
hsa_circ_0021312	TEAD1
hsa_circ_0090284	USP9X
hsa_circ_0038467	UQCRC2
hsa_circ_0089579	C9orf86
hsa_circ_0081352	ATP5J2-PTCD1
hsa_circ_0015398	RALGPS2
hsa_circ_0065045	ZDHHC3
hsa_circ_0063596	NHP2L1
hsa_circ_0028843	GCN1L1
hsa_circ_0073821	LYRM7
hsa_circ_0037919	SNX29
hsa_circ_0031455	HECTD1
hsa_circ_0004759	TATDN1
hsa_circ_0076939	BAI3
hsa_circ_0071548	KIAA1430
hsa_circ_0042800	SSH2
hsa_circ_0000458	TMED2
hsa_circ_0086161	RPL8
hsa_circ_0024001	FAT3
hsa_circ_0088431	DENND1A
hsa_circ_0085309	ZFPM2
hsa_circ_0038477	UQCRC2
hsa_circ_0013047	LPHN2
hsa_circ_0063111	MYH9
hsa_circ_0039371	CHD9
hsa_circ_0046842	ANKRD12
hsa_circ_0091968	FLNA
hsa_circ_0027791	NTN4
hsa_circ_0081167	COL1A2
hsa_circ_0021892	F2
hsa_circ_0005591	IFT81
hsa_circ_0066143	SFMBT1
hsa_circ_0051143	SNRPA
hsa_circ_0072494	SLC38A9
hsa_circ_0001282	GOLGA4
hsa_circ_0021834	DGKZ
hsa_circ_0005335	ASPH
hsa_circ_0091285	RBM41
hsa_circ_0004749	CCBL2
hsa_circ_0024757	EI24
hsa_circ_0068753	LRCH3
hsa_circ_0050675	CLIP3
hsa_circ_0077503	HACE1
hsa_circ_0046378	CCDC57
hsa_circ_0059934	ITCH
hsa_circ_0086167	ZNF7
hsa_circ_0051416	APOE
hsa_circ_0024511	RPS25
hsa_circ_0062776	NIPSNAP1
hsa_circ_0004240	EIF3I
hsa_circ_0064124	SETD5
hsa_circ_0039404	FTO
hsa_circ_0036209	PARP6
hsa_circ_0014201	S100A10
hsa_circ_0000360	DDX6
hsa_circ_0083265	ARHGEF10
hsa_circ_0021471	UEVLD
hsa_circ_0067622	ATR
hsa_circ_0021074	CYB5R2
hsa_circ_0008774	GPBP1L1
hsa_circ_0050475	GPI
hsa_circ_0080966	ADAM22
hsa_circ_0076821	DST
hsa_circ_0039093	SRCAP
hsa_circ_0089973	REPS2
hsa_circ_0085772	PTK2
hsa_circ_0081631	CUX1
hsa_circ_0025172	NCAPD2
hsa_circ_0065100	SACM1L
hsa_circ_0044746	CUEDC1
hsa_circ_0080432	CALN1
hsa_circ_0063822	CELSR1
hsa_circ_0005753	TAB2
hsa_circ_0015854	C1orf106
hsa_circ_0003291	GPR176
hsa_circ_0072948	TNPO1
hsa_circ_0020829	CARS
hsa_circ_0081305	TRRAP
hsa_circ_0041412	METTL16
hsa_circ_0027745	FGD6
hsa_circ_0056706	RIF1
hsa_circ_0054608	MTIF2
hsa_circ_0050495	GPI
hsa_circ_0006200	LPIN2
hsa_circ_0057790	NOP58
hsa_circ_0020984	TRIM22
hsa_circ_0001264	RAD18
hsa_circ_0071728	LPCAT1
hsa_circ_0054895	XPO1
hsa_circ_0025074	ANO2
hsa_circ_0005290	ATP2B1
hsa_circ_0027672	PPP1R12A
hsa_circ_0073936	SKP1
hsa_circ_0035176	CEP152
hsa_circ_0008752	CNOT7
hsa_circ_0032191	MTHFD1
hsa_circ_0079625	MPP6
hsa_circ_0065683	APEH
hsa_circ_0008701	POGZ
hsa_circ_0004609	USP4
hsa_circ_0070484	RAP1GDS1
hsa_circ_0023791	ALG8
hsa_circ_0076562	XPO5
hsa_circ_0026959	ANKRD52
hsa_circ_0052348	RPS5
hsa_circ_0044518	COL1A1
hsa_circ_0080313	GUSB
hsa_circ_0066313	FLNB
hsa_circ_0061832	WDR4
hsa_circ_0004233	PRIM2
hsa_circ_0060376	DHX35
hsa_circ_0047649	DYM
hsa_circ_0007454	KNTC1
hsa_circ_0024446	MLL
hsa_circ_0030241	FNDC3A
hsa_circ_0022749	NAALADL1
hsa_circ_0016452	PTPN14
hsa_circ_0050768	ZFP82
hsa_circ_0063105	MYH9
hsa_circ_0026379	KRT81
hsa_circ_0052569	ADAM17
hsa_circ_0008534	PEX13
hsa_circ_0032251	GPHN
hsa_circ_0083481	PSD3
hsa_circ_0075091	TCONS_l2_00023267
hsa_circ_0026365	KRT7
hsa_circ_0035155	FBN1
hsa_circ_0051444	BLOC1S3
hsa_circ_0080905	SEMA3C
hsa_circ_0073420	TTC37
hsa_circ_0080398	TYW1
hsa_circ_0035074	SPG11
hsa_circ_0026670	ATF7
hsa_circ_0030156	KIAA1704
hsa_circ_0065175	SETD2
hsa_circ_0019664	LDB1
hsa_circ_0001211	BCR
hsa_circ_0049970	BABAM1
hsa_circ_0011169	EPB41
hsa_circ_0009384	PLCH2
hsa_circ_0073664	DMXL1
hsa_circ_0073229	ATP6AP1L
hsa_circ_0032084	ARID4A
hsa_circ_0048646	SEMA6B
hsa_circ_0070337	WDFY3
hsa_circ_0045722	UNC13D
hsa_circ_0034709	RPAP1
hsa_circ_0090515	HDAC6
hsa_circ_0018896	ADK
hsa_circ_0057308	ITGAV
hsa_circ_0035096	SPG11
hsa_circ_0029483	FBRSL1
hsa_circ_0081103	COL1A2
hsa_circ_0032164	SYNE2
hsa_circ_0086275	KIAA1432
hsa_circ_0061438	URB1
hsa_circ_0047074	ESCO1
hsa_circ_0082809	CASP2
hsa_circ_0071168	LRBA
hsa_circ_0066475	LRIG1
hsa_circ_0059062	SEPT2
hsa_circ_0075064	STC2
hsa_circ_0063551	TEF
hsa_circ_0052939	ATAD2B
hsa_circ_0071018	IL15
hsa_circ_0018942	POLR3A
hsa_circ_0086873	TLN1
hsa_circ_0002589	NISCH
hsa_circ_0039785	CBFB
hsa_circ_0028920	MLEC
hsa_circ_0086762	DCTN3
hsa_circ_0021105	ST5
hsa_circ_0040775	ZCCHC14
hsa_circ_0055187	EXOC6B
hsa_circ_0034120	SNORD116-10
hsa_circ_0088633	GARNL3
hsa_circ_0052481	TTC15
hsa_circ_0086711	UBAP2
hsa_circ_0075141	ZNF346
hsa_circ_0066070	STAB1
hsa_circ_0059168	CSNK2A1
hsa_circ_0015898	NAV1
hsa_circ_0052294	ZNF749
hsa_circ_0049611	RNASEH2A
hsa_circ_0075611	SYCP2L
hsa_circ_0005310	SBNO1
hsa_circ_0007178	BRAF
hsa_circ_0012037	SZT2
hsa_circ_0069951	ANKRD17
hsa_circ_0070324	WDFY3
hsa_circ_0063262	EIF3L
hsa_circ_0073478	LNPEP
hsa_circ_0031964	GNPNAT1
hsa_circ_0082100	GCC1
hsa_circ_0071585	KLKB1
hsa_circ_0014080	CERS2
hsa_circ_0081653	LRWD1
hsa_circ_0055230	ALMS1
hsa_circ_0080407	PMS2P4
hsa_circ_0063035	MCM5
hsa_circ_0031333	PSME2
hsa_circ_0024715	HSPA8
hsa_circ_0055514	IMMT
hsa_circ_0040118	PDXDC2P
hsa_circ_0046702	YES1
hsa_circ_0088608	FAM125B
hsa_circ_0006266	NCOA6
hsa_circ_0055988	RANBP2
hsa_circ_0016948	PCNXL2
hsa_circ_0022594	PLA2G16
hsa_circ_0051703	GLTSCR2
hsa_circ_0035084	SPG11
hsa_circ_0011441	YARS
hsa_circ_0031124	OSGEP
hsa_circ_0002902	COG7
hsa_circ_0072243	NUP155
hsa_circ_0059316	ATRN
hsa_circ_0046794	LAMA1
hsa_circ_0054965	SLC1A4
hsa_circ_0010477	EIF4G3
hsa_circ_0037633	TRAP1
hsa_circ_0090768	HUWE1
hsa_circ_0073385	MCTP1
hsa_circ_0038253	SMG1
hsa_circ_0083567	XPO7
hsa_circ_0011738	INPP5B
hsa_circ_0011242	PUM1
hsa_circ_0085764	PTK2
hsa_circ_0058634	PSMD1
hsa_circ_0001839	KDM4C
hsa_circ_0058181	XRCC5
hsa_circ_0029711	ZDHHC20
hsa_circ_0082213	FLNC
hsa_circ_0037319	CRAMP1L
hsa_circ_0020617	PSMD13
hsa_circ_0007438	GOLGA3
hsa_circ_0007013	PSEN1
hsa_circ_0017947	MLLT10
hsa_circ_0011298	TINAGL1
hsa_circ_0074813	CLINT1
hsa_circ_0087739	NR4A3
hsa_circ_0065448	COL7A1
hsa_circ_0020302	CPXM2
hsa_circ_0089769	LOC100507412
hsa_circ_0065315	DHX30
hsa_circ_0048486	MFSD12
hsa_circ_0006736	PRKCA
hsa_circ_0057659	HSPD1
hsa_circ_0024096	YAP1
hsa_circ_0081110	COL1A2
hsa_circ_0062142	psiTPTE22
hsa_circ_0075303	CANX
hsa_circ_0031222	OXA1L
hsa_circ_0058936	GPC1
hsa_circ_0055571	None
hsa_circ_0056378	SAP130
hsa_circ_0070741	TCONS_l2_00020705
hsa_circ_0042632	KIAA0100
hsa_circ_0066971	EAF2
hsa_circ_0051708	SEPW1
hsa_circ_0045432	BPTF
hsa_circ_0025010	CACNA2D4
hsa_circ_0046271	THOC4
hsa_circ_0074394	SH3RF2
hsa_circ_0089661	TUBB4B
hsa_circ_0069045	STK32B
hsa_circ_0002640	ATP6V1A
hsa_circ_0086884	TLN1
hsa_circ_0054269	MTA3
hsa_circ_0045271	ERN1
hsa_circ_0040820	BANP
hsa_circ_0036807	IQGAP1
hsa_circ_0013970	FLJ39739
hsa_circ_0027604	NAP1L1
hsa_circ_0038214	NOMO2
hsa_circ_0029737	PARP4
hsa_circ_0013814	TCONS_l2_00002643
hsa_circ_0001908	None
hsa_circ_0015631	NCF2
hsa_circ_0036946	SLCO3A1
hsa_circ_0023650	C11orf30
hsa_circ_0066602	ARL13B
hsa_circ_0059653	PYGB
hsa_circ_0091195	POF1B
hsa_circ_0023363	DHCR7
hsa_circ_0057849	NBEAL1
hsa_circ_0088047	SUSD1
hsa_circ_0048314	AP3D1
hsa_circ_0090694	HUWE1
hsa_circ_0057452	COL5A2
hsa_circ_0060308	CTNNBL1
hsa_circ_0016609	DNAH14
hsa_circ_0027663	SYT1
hsa_circ_0010388	KIAA0090
hsa_circ_0066963	GOLGB1
hsa_circ_0057865	NBEAL1
hsa_circ_0023673	PAK1
hsa_circ_0064941	CTNNB1
hsa_circ_0069607	ATP8A1
hsa_circ_0084003	FGFR1
hsa_circ_0081767	RELN
hsa_circ_0007251	USP1
hsa_circ_0061429	SCAF4
hsa_circ_0056466	PTPN18
hsa_circ_0080574	CLIP2
hsa_circ_0051736	CARD8
hsa_circ_0032500	RBM25
hsa_circ_0001149	RBM39
hsa_circ_0018423	BICC1
hsa_circ_0012558	ZYG11B
hsa_circ_0081491	TFR2
hsa_circ_0012523	ORC1
hsa_circ_0069650	NFXL1
hsa_circ_0036503	MTHFS
hsa_circ_0029979	NBEA
hsa_circ_0057524	GLS
hsa_circ_0002908	PTK2
hsa_circ_0090524	TIMM17B
hsa_circ_0055489	PTCD3
hsa_circ_0037061	ADAMTS17
hsa_circ_0070190	BMP2K
hsa_circ_0089362	SURF4
hsa_circ_0075048	ERGIC1
hsa_circ_0042145	NCOR1
hsa_circ_0091300	COL4A5
hsa_circ_0043738	ACLY
hsa_circ_0023934	PICALM
hsa_circ_0023376	DHCR7
hsa_circ_0008307	PUM2
hsa_circ_0068670	SENP5
hsa_circ_0015267	PRDX6
hsa_circ_0050735	CAPNS1
hsa_circ_0020527	BNIP3
hsa_circ_0086318	GLDC
hsa_circ_0027007	STAT2
hsa_circ_0009324	NADK
hsa_circ_0088205	TNC
hsa_circ_0081509	GIGYF1
hsa_circ_0033327	DYNC1H1
hsa_circ_0047923	RTTN
hsa_circ_0091635	ARHGEF6
hsa_circ_0075595	MUTED-TXNDC5
hsa_circ_0073779	FBN2
hsa_circ_0043102	NLE1
hsa_circ_0026967	COQ10A
hsa_circ_0066029	PHF7
hsa_circ_0081825	SRPK2
hsa_circ_0074818	EBF1
hsa_circ_0086888	TLN1
hsa_circ_0073155	PAPD4
hsa_circ_0057011	GAD1
hsa_circ_0003504	HBS1L
hsa_circ_0012359	KIAA0494
hsa_circ_0010413	OTUD3
hsa_circ_0035664	HERC1
hsa_circ_0079631	MPP6
hsa_circ_0075096	C5orf25
hsa_circ_0050264	ATP13A1
hsa_circ_0063376	RPL3
hsa_circ_0012729	MYSM1
hsa_circ_0053998	CRIM1
hsa_circ_0001078	STK39
hsa_circ_0072201	NIPBL
hsa_circ_0041876	POLR2A
hsa_circ_0029218	SBNO1
hsa_circ_0023600	XRRA1
hsa_circ_0011604	EIF2C4
hsa_circ_0089872	MID1
hsa_circ_0054408	PREPL
hsa_circ_0035566	NARG2
hsa_circ_0014599	TCONS_l2_00002667
hsa_circ_0003746	CALD1
hsa_circ_0070495	METAP1
hsa_circ_0034364	AQR
hsa_circ_0038972	ALDOA
hsa_circ_0013572	LRIG2
hsa_circ_0049060	ANGPTL4
hsa_circ_0091720	None
hsa_circ_0052729	NBAS
hsa_circ_0038651	PRKCB
hsa_circ_0020352	CTBP2
hsa_circ_0031572	HEATR5A
hsa_circ_0012071	PTPRF
hsa_circ_0039143	VKORC1
hsa_circ_0044843	DHX40
hsa_circ_0034831	STARD9
hsa_circ_0077229	TBX18
hsa_circ_0052178	PPP1R12C
hsa_circ_0021681	NAT10
hsa_circ_0085872	SCRIB
hsa_circ_0023262	CPT1A
hsa_circ_0081278	TRRAP
hsa_circ_0070562	TET2
hsa_circ_0083920	UNC5D
hsa_circ_0003014	ALDH9A1
hsa_circ_0062586	CABIN1
hsa_circ_0002745	RANBP17
hsa_circ_0060786	ZNFX1
hsa_circ_0005523	NDRG3
hsa_circ_0072824	SMA4
hsa_circ_0070793	PDE5A
hsa_circ_0020154	FAM45B
hsa_circ_0031067	RASA3
hsa_circ_0002958	FARS2
hsa_circ_0035492	CCNB2
hsa_circ_0049131	MUC16
hsa_circ_0019614	MGEA5
hsa_circ_0084506	ATP6V1H
hsa_circ_0060367	DHX35
hsa_circ_0049665	TRMT1
hsa_circ_0004136	KCNQ5
hsa_circ_0026926	ANKRD52
hsa_circ_0090140	PDK3
hsa_circ_0037885	ZC3H7A
hsa_circ_0086343	KDM4C
hsa_circ_0078062	LTV1
hsa_circ_0046061	RPTOR
hsa_circ_0038702	ZKSCAN2
hsa_circ_0084361	PRKDC
hsa_circ_0090562	TFE3
hsa_circ_0004738	RANBP17
hsa_circ_0008555	VPS37A
hsa_circ_0041342	SMYD4
hsa_circ_0024213	ATM
hsa_circ_0000094	CNN3
hsa_circ_0033137	VRK1
hsa_circ_0071364	NAF1
hsa_circ_0051292	TMEM145
hsa_circ_0070016	SDAD1
hsa_circ_0022698	RPS6KA4
hsa_circ_0075706	NUP153
hsa_circ_0032352	KIAA0247
hsa_circ_0047404	RPRD1A
hsa_circ_0003584	BTAF1
hsa_circ_0018477	HERC4
hsa_circ_0062638	LRP5L
hsa_circ_0015410	RALGPS2
hsa_circ_0082006	MET
hsa_circ_0065515	ARIH2
hsa_circ_0047479	LOC647946
hsa_circ_0030699	FARP1
hsa_circ_0053893	LTBP1
hsa_circ_0015883	PKP1
hsa_circ_0004491	ORC4
hsa_circ_0064614	SLC4A7
hsa_circ_0045961	CANT1
hsa_circ_0005748	None
hsa_circ_0025390	PHC1
hsa_circ_0003092	HIATL1
hsa_circ_0032830	STON2
hsa_circ_0064481	SH3BP5
hsa_circ_0030190	ZC3H13
hsa_circ_0028650	PEBP1
hsa_circ_0064515	ANKRD28
hsa_circ_0081876	NAMPT
hsa_circ_0015697	TPR
hsa_circ_0002729	CRIM1
hsa_circ_0043391	PLXDC1
hsa_circ_0015506	ACBD6
hsa_circ_0045176	TANC2
hsa_circ_0017302	SMYD3
hsa_circ_0054280	MTA3
hsa_circ_0089851	KAL1
hsa_circ_0079039	PRKAR1B
hsa_circ_0090432	USP11
hsa_circ_0036544	EFTUD1
hsa_circ_0083544	XPO7
hsa_circ_0072458	NDUFS4
hsa_circ_0045365	PRKCA
hsa_circ_0082182	FAM71F2
hsa_circ_0049976	ABHD8
hsa_circ_0021186	IPO7
hsa_circ_0021947	PACSIN3
hsa_circ_0007668	INTS12
hsa_circ_0078824	None
hsa_circ_0057985	PIKFYVE
hsa_circ_0050137	UBA52
hsa_circ_0074979	RANBP17
hsa_circ_0067995	FNDC3B
hsa_circ_0053259	PPM1G
hsa_circ_0056384	SAP130
hsa_circ_0043582	KRT34
hsa_circ_0088495	NEK6
hsa_circ_0044651	SPAG9
hsa_circ_0076001	ITPR3
hsa_circ_0051668	CCDC9
hsa_circ_0003517	TMPO
hsa_circ_0069748	FIP1L1
hsa_circ_0051798	BAX
hsa_circ_0062302	RANBP1
hsa_circ_0005280	STK39
hsa_circ_0047200	LAMA3
hsa_circ_0049742	CD97
hsa_circ_0050764	ZNF565
hsa_circ_0005362	PHC3
hsa_circ_0028031	BTBD11
hsa_circ_0060735	CSE1L
hsa_circ_0056840	MARCH7
hsa_circ_0042999	RHOT1
hsa_circ_0001497	GFM2
hsa_circ_0017082	LYST
hsa_circ_0079097	ZFAND2A
hsa_circ_0080317	GUSB
hsa_circ_0026569	ITGB7
hsa_circ_0062746	EWSR1
hsa_circ_0048634	LRG1
hsa_circ_0085596	ASAP1
hsa_circ_0062149	IL17RA
hsa_circ_0079059	HEATR2
hsa_circ_0050126	FKBP8
hsa_circ_0027087	ATP5B
hsa_circ_0089757	CACNA1B
hsa_circ_0025752	FAR2
hsa_circ_0000090	GBP3
hsa_circ_0021279	USP47
hsa_circ_0003578	CRIM1
hsa_circ_0075102	KIAA1191
hsa_circ_0026263	DIP2B
hsa_circ_0047352	TRAPPC8
hsa_circ_0026192	RACGAP1
hsa_circ_0083404	ZDHHC2
hsa_circ_0023911	PICALM
hsa_circ_0006019	NOTCH2
hsa_circ_0086626	SMU1
hsa_circ_0060228	RBL1
hsa_circ_0042204	None
hsa_circ_0054074	HEATR5B
hsa_circ_0076364	UBR2
hsa_circ_0027978	KIAA1033
hsa_circ_0001108	SP140L
hsa_circ_0020621	IFITM2
hsa_circ_0015820	KIF14
hsa_circ_0072776	CDK7
hsa_circ_0019159	KIF11
hsa_circ_0040256	SF3B3
hsa_circ_0063344	CBY1
hsa_circ_0042062	STX8
hsa_circ_0050056	RPL18A
hsa_circ_0048672	UHRF1
hsa_circ_0022868	PCNXL3
hsa_circ_0018496	PBLD
hsa_circ_0026915	RNF41
hsa_circ_0025242	ZNF384
hsa_circ_0063316	DDX17
hsa_circ_0041147	RPH3AL
hsa_circ_0087221	C9orf41
hsa_circ_0035048	FRMD5
hsa_circ_0043233	ACACA
hsa_circ_0074361	ARHGAP26
hsa_circ_0042089	ZNF18
hsa_circ_0000765	KAT2A
